claim_id,location,claim_type,value_paper,needs_block
a1_distance_age,Appendix Table 1,pipeline,0.708,TRUE
a1_distance_agreeableness,Appendix Table 1,pipeline,0.203,TRUE
a1_distance_conscientiousness,Appendix Table 1,pipeline,0.420,TRUE
a1_distance_education,Appendix Table 1,pipeline,0.285,TRUE
a1_distance_emotionalstability,Appendix Table 1,pipeline,0.248,TRUE
a1_distance_extraversion,Appendix Table 1,pipeline,0.100,TRUE
a1_distance_female,Appendix Table 1,pipeline,0.159,TRUE
a1_distance_ideology,Appendix Table 1,pipeline,0.465,TRUE
a1_distance_income,Appendix Table 1,pipeline,0.099,TRUE
a1_distance_interest,Appendix Table 1,pipeline,0.540,TRUE
a1_distance_opennesstoexperiences,Appendix Table 1,pipeline,0.157,TRUE
a1_distance_party7,Appendix Table 1,pipeline,0.117,TRUE
a1_distance_race_black,Appendix Table 1,pipeline,0.152,TRUE
a1_distance_race_hispanic,Appendix Table 1,pipeline,-0.042,TRUE
a1_distance_race_white,Appendix Table 1,pipeline,0.018,TRUE
a1_distance_region_midwest,Appendix Table 1,pipeline,0.052,TRUE
a1_distance_region_northeast,Appendix Table 1,pipeline,0.079,TRUE
a1_distance_region_south,Appendix Table 1,pipeline,0.137,TRUE
a1_distance_region_west,Appendix Table 1,pipeline,-0.007,TRUE
a1_distance_register,Appendix Table 1,pipeline,0.076,TRUE
a1_distance_vote,Appendix Table 1,pipeline,-0.124,TRUE
a1_p_age,Appendix Table 1,pipeline,0.000,TRUE
a1_p_agreeableness,Appendix Table 1,pipeline,0.001,TRUE
a1_p_conscientiousness,Appendix Table 1,pipeline,0.000,TRUE
a1_p_education,Appendix Table 1,pipeline,0.000,TRUE
a1_p_emotionalstability,Appendix Table 1,pipeline,0.000,TRUE
a1_p_extraversion,Appendix Table 1,pipeline,0.034,TRUE
a1_p_female,Appendix Table 1,pipeline,0.000,TRUE
a1_p_ideology,Appendix Table 1,pipeline,0.000,TRUE
a1_p_income,Appendix Table 1,pipeline,0.000,TRUE
a1_p_interest,Appendix Table 1,pipeline,0.000,TRUE
a1_p_opennesstoexperiences,Appendix Table 1,pipeline,0.005,TRUE
a1_p_party7,Appendix Table 1,pipeline,0.010,TRUE
a1_p_race_black,Appendix Table 1,pipeline,0.000,TRUE
a1_p_race_hispanic,Appendix Table 1,pipeline,0.357,TRUE
a1_p_race_white,Appendix Table 1,pipeline,0.873,TRUE
a1_p_region_midwest,Appendix Table 1,pipeline,0.409,TRUE
a1_p_region_northeast,Appendix Table 1,pipeline,0.179,TRUE
a1_p_region_south,Appendix Table 1,pipeline,0.010,TRUE
a1_p_region_west,Appendix Table 1,pipeline,0.948,TRUE
a1_p_register,Appendix Table 1,pipeline,0.157,TRUE
a1_p_vote,Appendix Table 1,pipeline,0.000,TRUE
a1_se_age,Appendix Table 1,pipeline,0.032,TRUE
a1_se_agreeableness,Appendix Table 1,pipeline,0.077,TRUE
a1_se_conscientiousness,Appendix Table 1,pipeline,0.065,TRUE
a1_se_education,Appendix Table 1,pipeline,0.041,TRUE
a1_se_emotionalstability,Appendix Table 1,pipeline,0.054,TRUE
a1_se_extraversion,Appendix Table 1,pipeline,0.052,TRUE
a1_se_female,Appendix Table 1,pipeline,0.049,TRUE
a1_se_ideology,Appendix Table 1,pipeline,0.069,TRUE
a1_se_income,Appendix Table 1,pipeline,0.033,TRUE
a1_se_interest,Appendix Table 1,pipeline,0.082,TRUE
a1_se_opennesstoexperiences,Appendix Table 1,pipeline,0.069,TRUE
a1_se_party7,Appendix Table 1,pipeline,0.055,TRUE
a1_se_race_black,Appendix Table 1,pipeline,0.033,TRUE
a1_se_race_hispanic,Appendix Table 1,pipeline,0.035,TRUE
a1_se_race_white,Appendix Table 1,pipeline,0.041,TRUE
a1_se_region_midwest,Appendix Table 1,pipeline,0.046,TRUE
a1_se_region_northeast,Appendix Table 1,pipeline,0.054,TRUE
a1_se_region_south,Appendix Table 1,pipeline,0.064,TRUE
a1_se_region_west,Appendix Table 1,pipeline,0.039,TRUE
a1_se_register,Appendix Table 1,pipeline,0.050,TRUE
a1_se_vote,Appendix Table 1,pipeline,0.044,TRUE
a2_aic_kam_base,Appendix Table 2,pipeline,912.392,TRUE
a2_aic_kam_ctrl,Appendix Table 2,pipeline,917.727,TRUE
a2_aic_kam_int,Appendix Table 2,pipeline,914.391,TRUE
a2_aic_lucid_base,Appendix Table 2,pipeline,2060.424,TRUE
a2_aic_lucid_ctrl,Appendix Table 2,pipeline,2047.524,TRUE
a2_aic_lucid_int,Appendix Table 2,pipeline,2060.713,TRUE
a2_aic_mturk_base,Appendix Table 2,pipeline,902.092,TRUE
a2_aic_mturk_ctrl,Appendix Table 2,pipeline,911.755,TRUE
a2_aic_mturk_int,Appendix Table 2,pipeline,903.646,TRUE
a2_coef_kam_base_int,Appendix Table 2,pipeline,-0.705,TRUE
a2_coef_kam_base_mf,Appendix Table 2,pipeline,1.068,TRUE
a2_coef_kam_base_ra,Appendix Table 2,pipeline,0.520,TRUE
a2_coef_kam_ctrl_int,Appendix Table 2,pipeline,-0.814,TRUE
a2_coef_kam_ctrl_mf,Appendix Table 2,pipeline,1.091,TRUE
a2_coef_kam_ctrl_ra,Appendix Table 2,pipeline,0.587,TRUE
a2_coef_kam_int_int,Appendix Table 2,pipeline,-0.700,TRUE
a2_coef_kam_int_mf,Appendix Table 2,pipeline,1.059,TRUE
a2_coef_kam_int_ra,Appendix Table 2,pipeline,0.506,TRUE
a2_coef_kam_int_raxmf,Appendix Table 2,pipeline,0.022,TRUE
a2_coef_lucid_base_int,Appendix Table 2,pipeline,-0.634,TRUE
a2_coef_lucid_base_mf,Appendix Table 2,pipeline,0.898,TRUE
a2_coef_lucid_base_ra,Appendix Table 2,pipeline,0.253,TRUE
a2_coef_lucid_ctrl_int,Appendix Table 2,pipeline,-1.040,TRUE
a2_coef_lucid_ctrl_mf,Appendix Table 2,pipeline,0.898,TRUE
a2_coef_lucid_ctrl_ra,Appendix Table 2,pipeline,0.516,TRUE
a2_coef_lucid_int_int,Appendix Table 2,pipeline,-0.767,TRUE
a2_coef_lucid_int_mf,Appendix Table 2,pipeline,1.155,TRUE
a2_coef_lucid_int_ra,Appendix Table 2,pipeline,0.522,TRUE
a2_coef_lucid_int_raxmf,Appendix Table 2,pipeline,-0.523,TRUE
a2_coef_mturk_base_int,Appendix Table 2,pipeline,-1.128,TRUE
a2_coef_mturk_base_mf,Appendix Table 2,pipeline,1.182,TRUE
a2_coef_mturk_base_ra,Appendix Table 2,pipeline,0.906,TRUE
a2_coef_mturk_ctrl_int,Appendix Table 2,pipeline,-1.193,TRUE
a2_coef_mturk_ctrl_mf,Appendix Table 2,pipeline,1.184,TRUE
