facet,variable,Variable,survey,Survey,mean,se,li,ui
Demographics,female,Female,anes2012,ANES 2012,-2.7838920008905546e-17,0.030568979069353228,-0.05991519897593235,0.059915198975932296
Demographics,female,Female,lucid,Lucid,0.00280645935978331,0.016915001150178743,-0.030346942894567026,0.03595986161413365
Demographics,female,Female,mturk,MTurk,0.16135705972439135,0.04178018772008665,0.07946789179302151,0.2432462276557612
Demographics,education,Education,anes2012,ANES 2012,-2.0019385951939764e-16,0.029698845840007874,-0.05820973784641563,0.05820973784641523
Demographics,education,Education,lucid,Lucid,0.2105638590284196,0.016371365916931606,0.17847598183123364,0.24265173622560554
Demographics,education,Education,mturk,MTurk,0.49557619679015535,0.03908234893112413,0.41897479288515205,0.5721776006951587
Demographics,age,Age,anes2012,ANES 2012,-2.251943247915638e-16,0.031602576379698315,-0.06194104970420892,0.061941049704208474
Demographics,age,Age,lucid,Lucid,-0.13021583620728275,0.015844738482237556,-0.16127152363246836,-0.09916014878209714
Demographics,age,Age,mturk,MTurk,-0.8380810818584997,0.027623261337061663,-0.8922226740791406,-0.7839394896378589
Demographics,income,Mean income,anes2012,ANES 2012,-1.1804510855399568e-16,0.036259010209134926,-0.07106766000990458,0.07106766000990433
Demographics,income,Mean income,lucid,Lucid,-0.10759358693080827,0.014815072076161836,-0.13663112820008547,-0.07855604566153107
Demographics,income,Mean income,mturk,MTurk,-0.206511016132355,0.029496268523232536,-0.2643237024378908,-0.14869832982681924
Demographics,race_white,White,anes2012,ANES 2012,-1.652682836240156e-16,0.027136756194379504,-0.05318804214098399,0.05318804214098366
Demographics,race_white,White,lucid,Lucid,0.17943349667925074,0.015173742060415142,0.14969296224083706,0.20917403111766442
Demographics,race_white,White,mturk,MTurk,0.19716269812621828,0.037682528441589355,0.12330494238070315,0.2710204538717334
Demographics,race_black,Black,anes2012,ANES 2012,5.601981303280232e-17,0.0248813742976554,-0.04876749362340453,0.04876749362340464
Demographics,race_black,Black,lucid,Lucid,-0.08720066470035509,0.015012516936521031,-0.11662519789593631,-0.05777613150477387
Demographics,race_black,Black,mturk,MTurk,-0.23926773526307807,0.026292603021709268,-0.2908012371856282,-0.1877342333405279
Demographics,race_hispanic,Hispanic,anes2012,ANES 2012,-2.8844200862331015e-17,0.02352276622057445,-0.04610462179232595,0.0461046217923259
Demographics,race_hispanic,Hispanic,lucid,Lucid,-0.1764068806044372,0.012274414462786388,-0.20046473295149853,-0.1523490282573759
Demographics,race_hispanic,Hispanic,mturk,MTurk,-0.13465205930695232,0.0342069404976516,-0.20169766268234945,-0.06760645593155519
Demographics,race_asian,Asian,anes2012,ANES 2012,1.0934851808391625e-17,0.027351171841636667,-0.05360829680960785,0.05360829680960788
Demographics,race_asian,Asian,lucid,Lucid,0.16361511782290836,0.025624409874528388,0.11339127446883271,0.213838961176984
Demographics,race_asian,Asian,mturk,MTurk,NA,NA,NA,NA
Demographics,race_native,Native American,anes2012,ANES 2012,-6.289426278564711e-18,0.022846454610647236,-0.04477905103686859,0.04477905103686858
Demographics,race_native,Native American,lucid,Lucid,0.1128019220798149,0.028633106417007843,0.05668103350247953,0.16892281065715029
Demographics,race_native,Native American,mturk,MTurk,NA,NA,NA,NA
Demographics,region_northeast,Northeast,anes2012,ANES 2012,2.5780658228472927e-17,0.031870580162355645,-0.06246633711821704,0.06246633711821709
Demographics,region_northeast,Northeast,lucid,Lucid,0.02107459776175412,0.017225967315746608,-0.01268829817710923,0.05483749370061747
Demographics,region_northeast,Northeast,mturk,MTurk,0.10012034125203562,0.045822685540811564,0.010307877592044948,0.1899328049120263
Demographics,region_midwest,Midwest,anes2012,ANES 2012,2.2397538290520463e-17,0.03040168192121648,-0.05958729656558428,0.05958729656558432
Demographics,region_midwest,Midwest,lucid,Lucid,0.02843069877990698,0.01724230089315923,-0.005364210970685106,0.06222560853049906
