facet,variable,condition,Survey,coef,se,li,ui
Both frames,Both,CATE: High education,Lucid,-0.057886691144475484,0.07170829204694903,-0.19843494355649557,0.08266156126754462
Both frames,Both,CATE: Low education,Lucid,-0.20724931102573213,0.13626472897012076,-0.47432817980716885,0.05982955775570459
Both frames,Both,CATE: Expert frame received,Lucid,-0.12182691916040972,0.08797967089247886,-0.2942670741096683,0.050613235788848854
Both frames,Both,ATE,Lucid,-0.10121647563126428,0.06401063211714485,-0.22667731458086815,0.02424436331833961
Expert,Expert,CATE: High education,Lucid,0.23003926426303428,0.05051467636953413,0.13103049857874738,0.3290480299473212
Expert,Expert,CATE: Low education,Lucid,0.23156705986688292,0.09168882839853522,0.051856956205753896,0.4112771635280119
Expert,Expert,ATE,Lucid,0.23355765773122006,0.04444663772997789,0.14644224778046339,0.32067306768197673
Negative frame,Negative,CATE: High education,Lucid,-0.17842042310372572,0.07077473239521381,-0.31713889859834477,-0.03970194760910664
Negative frame,Negative,CATE: Low education,Lucid,-0.2270144997003886,0.1355121480985288,-0.492618309973505,0.038589310572727825
Negative frame,Negative,CATE: Expert frame received,Lucid,-0.02275584826180112,0.08246861705493397,-0.1843943376894717,0.13888264116586943
Negative frame,Negative,ATE,Lucid,-0.19238169228811847,0.06290577662704834,-0.3156770144771332,-0.06908637009910372
Positive frame,Positive,CATE: High education,Lucid,-2.662244841920342e-4,0.06810899598017083,-0.13375985660532685,0.1332274076369428
Positive frame,Positive,CATE: Low education,Lucid,0.094791558956473,0.12907010623095072,-0.1581858492561904,0.3477689671691364
Positive frame,Positive,CATE: Expert frame received,Lucid,0.03913896497913825,0.08133154455915759,-0.12027086235681061,0.1985487923150871
Positive frame,Positive,ATE,Lucid,0.026894899284380887,0.06024536305181814,-0.09118601229718268,0.14497581086594444
Both frames,Both,CATE: High education,Original,-0.3814251599074517,0.08072671707654631,-0.5396495253774825,-0.2232007944374209
Both frames,Both,CATE: Low education,Original,-0.4330919023577525,0.12659224020829246,-0.6812126931660057,-0.1849711115494993
Both frames,Both,CATE: Expert frame received,Original,-0.3492880222694039,0.10568519135066459,-0.5564309973167065,-0.14214504722210133
Both frames,Both,ATE,Original,-0.3796989147891859,0.07011054351168113,-0.5171155800720809,-0.24228224950629088
Expert,Expert,CATE: High education,Original,0.17801451495125772,0.058460191927538444,0.06343253877328238,0.2925964911292331
Expert,Expert,CATE: Low education,Original,0.3635682458265381,0.08978914561666969,0.1875815204178655,0.5395549712352107
Expert,Expert,ATE,Original,0.23273020170498787,0.04988491853039402,0.1349557613854156,0.33050464202456015
Negative frame,Negative,CATE: High education,Original,-0.26874772868914576,0.07965352941459024,-0.4248686463417426,-0.1126268110365489
Negative frame,Negative,CATE: Low education,Original,-0.29675354721829417,0.12506956783936893,-0.5418899001834573,-0.05161719425313108
Negative frame,Negative,CATE: Expert frame received,Original,-0.13375512002065143,0.1016958933976174,-0.3330790710799816,0.0655688310386787
Negative frame,Negative,ATE,Original,-0.2731223452458994,0.06934664135476362,-0.4090417623012361,-0.1372029281905627
Positive frame,Positive,CATE: High education,Original,-0.2085293965113308,0.07685151930877653,-0.35915837435653275,-0.0579004186661288
Positive frame,Positive,CATE: Low education,Original,0.01674978529713103,0.12194882105115308,-0.222269903963129,0.2557694745573911
Positive frame,Positive,CATE: Expert frame received,Original,-0.16165293793022892,0.10129986856250865,-0.3602006803127459,0.036894804452288044
Positive frame,Positive,ATE,Original,-0.12337449137044319,0.0664861245877689,-0.2536872955624702,0.006938312821583845
