variable,lucid,mturk,anes_panel,cps,anes,anes2012
female,52.15 (0.85),60.07 (2.09),51.80 (2.19),51.67 (0.18),55.29 (1.37),52.01 (1.53)
age,44.92 (0.28),32.26 (0.49),46.39 (0.82),46.02 (0.06),46.53 (0.50),47.25 (0.57)
education,14.16 (0.04),14.88 (0.10),15.15 (0.12),13.21 (0.01),13.50 (0.07),13.63 (0.07)
income_mean,"$60,896.33","$55,331.82","$66,710.48","$62,255.92","$66,158.53","$66,948.92"
income_median,"$47,500","$45,000","$55,000","$55,000","$55,000","$52,500"
race_white,78.87 (0.69),79.67 (1.72),78.43 (2.02),68.50 (0.17),75.37 (0.97),70.70 (1.24)
race_black,9.11 (0.49),4.17 (0.85),10.09 (1.54),11.67 (0.12),12.34 (0.63),11.93 (0.81)
race_hispanic,5.41 (0.38),6.72 (1.07),5.93 (1.20),13.66 (0.13),8.15 (0.47),10.92 (0.73)
race_asian,3.44 (0.31),NA,2.70 (0.81),5.02 (0.08),2.79 (0.51),1.47 (0.33)
race_native,1.03 (0.17),NA,1.49 (0.58),1.07 (0.04),1.35 (0.31),0.36 (0.14)
region_northeast,18.92 (0.66),21.96 (1.77),18.76 (1.79),18.42 (0.14),14.09 (1.03),18.10 (1.23)
region_midwest,23.79 (0.72),25.95 (1.87),23.91 (1.69),21.91 (0.14),20.97 (1.17),22.60 (1.27)
region_south,37.63 (0.82),30.13 (1.96),36.37 (2.15),36.54 (0.18),43.50 (1.35),37.20 (1.46)
region_west,19.66 (0.67),19.96 (1.70),20.96 (1.77),23.13 (0.15),21.44 (1.04),22.10 (1.26)
n,"3,504",551,"1,058","100,008","2,322","2,054"
