variable,lucid,mturk,anes_panel,cps,anes,anes2012
register,81.49 (0.66),78.77 (1.74),86.66 (1.86),71.00 (0.17),86.01 (0.95),84.75 (1.05)
vote,76.33 (0.72),70.64 (1.95),83.96 (1.83),73.80 (0.18),77.44 (1.13),75.63 (1.31)
party7,3.73 (0.04),3.49 (0.09),3.96 (0.09),NA,3.73 (0.06),3.73 (0.06)
ideology,4.09 (0.04),3.39 (0.09),4.45 (0.07),NA,4.24 (0.05),4.25 (0.05)
interest,3.62 (0.02),2.43 (0.04),3.20 (0.05),NA,2.94 (0.04),3.34 (0.04)
knowl_score,58.39 (0.46),70.51 (1.03),59.91 (1.22),NA,NA,NA
seniors,74.19 (0.74),63.52 (2.05),77.13 (1.73),NA,79.81 (1.60),NA
healthcare,49.69 (0.84),47.73 (2.13),43.38 (2.20),NA,51.07 (1.95),NA
immigration,35.99 (0.81),38.11 (2.07),41.39 (2.16),NA,49.11 (1.95),NA
gaymarriage,28.09 (0.76),15.61 (1.55),32.95 (2.03),NA,NA,NA
taxrich,63.67 (0.81),61.16 (2.08),55.51 (2.18),NA,NA,NA
taxpoor,11.42 (0.54),6.17 (1.03),6.40 (1.13),NA,NA,NA
n,"3,504",551,"1,058","100,008","2,322","2,054"
