survey,term,estimate,std.error,statistic,p.value,conf.low,conf.high,nobs
lucid,(Intercept),1.7680751173709144,0.024671132020837344,71.665747476751,0,1.7197027968813425,1.8164474378604862,3294
lucid,welfareassistance to the poor,0.613050109489365,0.033803618868448605,18.13563547367911,3.8932869081336556e-70,0.5467718582834262,0.6793283606953038,3294
lucid,welfarecaring for the poor,0.7376924070301761,0.032520917527966105,22.683628356912237,5.802420958155721e-106,0.6739291292061567,0.8014556848541956,3294
mturk,(Intercept),1.6954022988505728,0.056135224582641356,30.202111267135475,4.946986509081888e-114,1.5851074040994375,1.805697193601708,494
mturk,welfareassistance to the poor,0.66823406478579,0.08491223282874923,7.869703133746143,2.287628497534448e-14,0.5013978963628203,0.8350702332087596,494
mturk,welfarecaring for the poor,0.7805013156072552,0.08009532041471872,9.74465563738261,1.2477561586763514e-20,0.6231294514901993,0.9378731797243112,494
GSS84,(Intercept),1.8365180467091327,0.0365921921203816,50.18879548586007,2.67550515937611e-268,1.764706301972576,1.9083297914456894,943
GSS84,welfareassistance to the poor,0.6931429702400239,0.048329258236821715,14.342098255336417,2.452403431976523e-42,0.5982973719115031,0.7879885685685447,943
GSS14,(Intercept),1.7124183006536144,0.022394938643331336,76.46452298557784,0,1.6685033767127608,1.756333224594468,2457
GSS14,welfareassistance to the poor,0.8082629645532153,0.029916821711814513,27.01700642999863,5.77014220502384e-141,0.7495981487682599,0.8669277803381708,2457
